,images,expected,predicted
0,../Images/testMale\class0\augmented_image_278.jpg,1,1
1,../Images/testMale\class0\augmented_image_281.jpg,0,0
2,../Images/testMale\class0\img_527.jpg,1,1
3,../Images/testMale\class0\img_624.jpg,0,0
4,../Images/testMale\class0\maksssksksss530.png,0,0
5,../Images/testMale\class0\maksssksksss537.png,1,0
6,../Images/testMale\class0\maksssksksss540.png,1,1
7,../Images/testMale\class0\maksssksksss544.png,0,0
8,../Images/testMale\class0\maksssksksss757.png,0,0
9,../Images/testMale\class0\maksssksksss785.png,1,2
10,../Images/testMale\class0\maksssksksss817.png,0,0
11,../Images/testMale\class0\maksssksksss818.png,0,0
12,../Images/testMale\class0\person_0144.jpg,0,0
13,../Images/testMale\class0\person_0145.jpg,0,0
14,../Images/testMale\class0\person_0146.jpg,0,0
15,../Images/testMale\class0\person_0147.jpg,0,0
16,../Images/testMale\class0\person_0148.jpg,1,1
17,../Images/testMale\class0\person_0149.jpg,0,0
18,../Images/testMale\class0\person_0150.jpg,0,0
19,../Images/testMale\class0\person_0159.jpg,0,0
20,../Images/testMale\class0\person_0160.jpg,1,1
21,../Images/testMale\class0\person_0161.jpg,1,2
22,../Images/testMale\class0\person_0162.jpg,0,0
23,../Images/testMale\class0\person_0163.jpg,0,0
24,../Images/testMale\class0\person_0164.jpg,0,0
25,../Images/testMale\class0\person_0165.jpg,1,1
26,../Images/testMale\class0\person_0166.jpg,1,1
27,../Images/testMale\class0\person_0175.jpg,1,1
28,../Images/testMale\class0\person_0176.jpg,0,0
29,../Images/testMale\class0\person_0177.jpg,0,0
30,../Images/testMale\class0\person_0178.jpg,1,2
31,../Images/testMale\class0\person_0179.jpg,1,1
32,../Images/testMale\class0\person_0180.jpg,0,0
33,../Images/testMale\class0\person_0181.jpg,1,1
34,../Images/testMale\class0\person_0182.jpg,0,0
35,../Images/testMale\class0\person_0191.jpg,1,1
36,../Images/testMale\class0\person_0192.jpg,1,1
37,../Images/testMale\class0\person_0193.jpg,1,1
38,../Images/testMale\class0\person_0756.jpg,1,1
39,../Images/testMale\class0\person_0757.jpg,1,2
40,../Images/testMale\class0\person_0758.jpg,0,0
41,../Images/testMale\class0\person_0759.jpg,1,1
42,../Images/testMale\class0\person_0760.jpg,0,2
43,../Images/testMale\class0\person_0761.jpg,1,1
44,../Images/testMale\class0\person_0768.jpg,1,1
45,../Images/testMale\class0\person_0769.jpg,0,0
46,../Images/testMale\class0\person_0770.jpg,1,1
47,../Images/testMale\class0\person_0771.jpg,1,1
48,../Images/testMale\class0\person_0772.jpg,1,1
49,../Images/testMale\class0\person_0773.jpg,0,0
50,../Images/testMale\class0\person_0774.jpg,0,0
51,../Images/testMale\class0\person_0775.jpg,1,1
52,../Images/testMale\class0\person_0776.jpg,0,0
53,../Images/testMale\class0\person_0777.jpg,1,1
54,../Images/testMale\class0\person_0784.jpg,1,1
55,../Images/testMale\class0\person_0808.jpg,1,1
56,../Images/testMale\class0\person_0809.jpg,1,1
57,../Images/testMale\class0\person_0816.jpg,0,0
58,../Images/testMale\class0\person_0817.jpg,1,1
59,../Images/testMale\class0\person_0818.jpg,1,1
60,../Images/testMale\class0\person_0819.jpg,0,0
61,../Images/testMale\class0\person_0820.jpg,1,2
62,../Images/testMale\class0\person_0821.jpg,1,1
63,../Images/testMale\class0\person_0822.jpg,0,0
64,../Images/testMale\class0\person_0823.jpg,0,0
65,../Images/testMale\class0\person_0824.jpg,1,1
66,../Images/testMale\class0\person_0825.jpg,1,1
67,../Images/testMale\class0\person_0832.jpg,0,0
68,../Images/testMale\class0\person_0833.jpg,1,1
69,../Images/testMale\class0\person_0834.jpg,1,1
70,../Images/testMale\class0\person_0835.jpg,0,0
71,../Images/testMale\class0\person_0836.jpg,1,1
72,../Images/testMale\class0\person_0837.jpg,1,1
73,../Images/testMale\class0\person_0838.jpg,1,2
74,../Images/testMale\class0\person_0839.jpg,1,1
75,../Images/testMale\class0\person_0840.jpg,1,1
76,../Images/testMale\class0\person_0841.jpg,0,0
77,../Images/testMale\class0\person_0880.jpg,1,0
78,../Images/testMale\class0\person_0881.jpg,0,0
79,../Images/testMale\class0\person_0882.jpg,1,1
80,../Images/testMale\class0\person_0883.jpg,1,0
81,../Images/testMale\class0\person_0884.jpg,0,0
82,../Images/testMale\class0\person_0885.jpg,0,0
83,../Images/testMale\class0\person_0886.jpg,0,0
84,../Images/testMale\class0\person_0887.jpg,1,1
85,../Images/testMale\class0\person_0896.jpg,1,1
86,../Images/testMale\class0\person_0897.jpg,1,2
87,../Images/testMale\class0\person_0898.jpg,1,1
88,../Images/testMale\class0\person_0899.jpg,1,2
89,../Images/testMale\class0\person_0900.jpg,0,0
90,../Images/testMale\class0\person_0901.jpg,1,0
91,../Images/testMale\class0\person_0902.jpg,0,0
92,../Images/testMale\class0\person_0903.jpg,1,1
93,../Images/testMale\class0\person_0918.jpg,0,0
94,../Images/testMale\class0\person_0919.jpg,1,2
95,../Images/testMale\class0\person_0928.jpg,0,0
96,../Images/testMale\class0\person_0929.jpg,1,2
97,../Images/testMale\class0\person_0930.jpg,1,1
98,../Images/testMale\class0\person_0931.jpg,1,1
99,../Images/testMale\class0\person_0932.jpg,1,1
100,../Images/testMale\class0\person_0933.jpg,1,1
101,../Images/testMale\class0\person_0934.jpg,0,0
102,../Images/testMale\class0\person_0948.jpg,0,0
103,../Images/testMale\class0\person_0949.jpg,0,0
104,../Images/testMale\class0\person_0950.jpg,0,0
105,../Images/testMale\class0\person_0960.jpg,1,1
106,../Images/testMale\class0\person_0961.jpg,0,0
107,../Images/testMale\class0\person_0962.jpg,1,2
108,../Images/testMale\class0\person_0965.jpg,0,0
109,../Images/testMale\class0\person_0966.jpg,0,0
110,../Images/testMale\class1\01047_Mask.jpg,1,1
111,../Images/testMale\class1\01048_Mask.jpg,1,1
112,../Images/testMale\class1\01049_Mask.jpg,1,1
113,../Images/testMale\class1\01050_Mask.jpg,0,2
114,../Images/testMale\class1\01052_Mask.jpg,0,0
115,../Images/testMale\class1\01059_Mask.jpg,0,0
116,../Images/testMale\class1\01060_Mask.jpg,0,0
117,../Images/testMale\class1\01064_Mask.jpg,1,1
