,images,expected,predicted
0,../Images/test\class0\11.png,0,2
1,../Images/test\class0\166.png,0,0
2,../Images/test\class0\179.png,0,0
3,../Images/test\class0\261.png,0,0
4,../Images/test\class0\31.png,0,0
5,../Images/test\class0\319.png,0,0
6,../Images/test\class0\324.png,0,0
7,../Images/test\class0\336.png,0,0
8,../Images/test\class0\401.png,0,0
9,../Images/test\class0\409.png,0,0
10,../Images/test\class0\410.png,0,0
11,../Images/test\class0\436.png,0,0
12,../Images/test\class0\447.png,0,0
13,../Images/test\class0\477.png,0,0
14,../Images/test\class0\58.png,0,0
15,../Images/test\class0\Indian-faces-1180.png,0,0
16,../Images/test\class0\V_augmented_image_258.png,0,0
17,../Images/test\class0\Waugmented_image_268.png,0,0
18,../Images/test\class0\augmented_image_255.png,0,0
19,../Images/test\class0\augmented_image_257.png,0,0
20,../Images/test\class0\augmented_image_275.png,0,0
21,../Images/test\class0\augmented_image_278.png,0,0
22,../Images/test\class0\augmented_image_281.png,0,0
23,../Images/test\class0\augmented_image_297.png,0,0
24,../Images/test\class0\augmented_image_303.png,0,0
25,../Images/test\class0\augmented_image_306.png,0,0
26,../Images/test\class0\fc95de7bf6cbe26dec3bb4a44a499290.png,0,0
27,../Images/test\class0\img_3305.png,0,0
28,../Images/test\class0\img_527.png,0,0
29,../Images/test\class0\img_651.png,0,2
30,../Images/test\class0\img_716.png,0,0
31,../Images/test\class0\img_818.png,0,2
32,../Images/test\class0\maksssksksss530.png,0,2
33,../Images/test\class0\maksssksksss537.png,0,0
34,../Images/test\class0\maksssksksss540.png,0,0
35,../Images/test\class0\maksssksksss544.png,0,0
36,../Images/test\class0\maksssksksss757.png,0,2
37,../Images/test\class0\maksssksksss785.png,0,2
38,../Images/test\class0\maksssksksss817.png,0,0
39,../Images/test\class0\maksssksksss818.png,0,2
40,../Images/test\class0\mas270.png,0,0
41,../Images/test\class0\mask381.png,0,0
42,../Images/test\class0\nmsdk.png,0,0
43,../Images/test\class0\nomaskkk.png,0,0
44,../Images/test\class0\nomskkkkkkkkkkkk.png,0,0
45,../Images/test\class0\person_0000.png,0,0
46,../Images/test\class0\person_0143.png,0,0
47,../Images/test\class0\person_0144.png,0,0
48,../Images/test\class0\person_0145.png,0,0
49,../Images/test\class0\person_0146.png,0,0
50,../Images/test\class0\person_0147.png,0,0
51,../Images/test\class0\person_0148.png,0,0
52,../Images/test\class0\person_0149.png,0,0
53,../Images/test\class0\person_0150.png,0,0
54,../Images/test\class0\person_0159.png,0,0
55,../Images/test\class0\person_0160.png,0,0
56,../Images/test\class0\person_0161.png,0,0
57,../Images/test\class0\person_0162.png,0,0
58,../Images/test\class0\person_0163.png,0,0
59,../Images/test\class0\person_0164.png,0,0
60,../Images/test\class0\person_0165.png,0,0
61,../Images/test\class0\person_0166.png,0,0
62,../Images/test\class0\person_0175.png,0,0
63,../Images/test\class0\person_0176.png,0,0
64,../Images/test\class0\person_0177.png,0,0
65,../Images/test\class0\person_0178.png,0,0
66,../Images/test\class0\person_0179.png,0,0
67,../Images/test\class0\person_0180.png,0,0
68,../Images/test\class0\person_0181.png,0,0
69,../Images/test\class0\person_0182.png,0,0
70,../Images/test\class0\person_0191.png,0,0
71,../Images/test\class0\person_0192.png,0,0
72,../Images/test\class0\person_0193.png,0,0
73,../Images/test\class0\person_0343.png,0,2
74,../Images/test\class0\person_0345.png,0,0
75,../Images/test\class0\person_0415.png,0,0
76,../Images/test\class0\person_0425.png,0,0
77,../Images/test\class0\person_0474.png,0,0
78,../Images/test\class0\person_0484.png,0,0
79,../Images/test\class0\person_0486.png,0,0
80,../Images/test\class0\person_0487.png,0,0
81,../Images/test\class0\person_0490.png,0,0
82,../Images/test\class0\person_0493.png,0,0
83,../Images/test\class0\person_0608.png,0,0
84,../Images/test\class0\person_0609.png,0,0
85,../Images/test\class0\person_0610.png,0,0
86,../Images/test\class0\person_0611.png,0,0
87,../Images/test\class0\person_0612.png,0,0
88,../Images/test\class0\person_0613.png,0,0
89,../Images/test\class0\person_0614.png,0,0
90,../Images/test\class0\person_0616.png,0,0
91,../Images/test\class0\person_0617.png,0,0
92,../Images/test\class0\person_0618.png,0,0
93,../Images/test\class0\person_0627.png,0,0
94,../Images/test\class0\person_0628.png,0,0
95,../Images/test\class0\person_0637.png,0,0
96,../Images/test\class0\person_0640.png,0,0
97,../Images/test\class0\person_0641.png,0,0
98,../Images/test\class0\person_0642.png,0,0
99,../Images/test\class0\person_0643.png,0,0
100,../Images/test\class0\person_0644.png,0,0
101,../Images/test\class0\person_0645.png,0,0
102,../Images/test\class0\person_0646.png,0,0
103,../Images/test\class0\person_0647.png,0,0
104,../Images/test\class0\person_0648.png,0,0
105,../Images/test\class0\person_0649.png,0,0
106,../Images/test\class0\person_0656.png,0,0
107,../Images/test\class0\person_0657.png,0,0
108,../Images/test\class0\person_0658.png,0,0
109,../Images/test\class0\person_0659.png,0,0
110,../Images/test\class0\person_0660.png,0,0
111,../Images/test\class0\person_0661.png,0,0
112,../Images/test\class0\person_0662.png,0,0
113,../Images/test\class0\person_0672.png,0,0
114,../Images/test\class0\person_0673.png,0,0
115,../Images/test\class0\person_0674.png,0,0
116,../Images/test\class0\person_0756.png,0,0
117,../Images/test\class0\person_0757.png,0,0
118,../Images/test\class0\person_0758.png,0,0
119,../Images/test\class0\person_0759.png,0,0
120,../Images/test\class0\person_0760.png,0,0
121,../Images/test\class0\person_0761.png,0,0
122,../Images/test\class0\person_0768.png,0,0
123,../Images/test\class0\person_0769.png,0,0
124,../Images/test\class0\person_0770.png,0,0
125,../Images/test\class0\person_0771.png,0,0
126,../Images/test\class0\person_0772.png,0,0
127,../Images/test\class0\person_0773.png,0,0
128,../Images/test\class0\person_0774.png,0,0
129,../Images/test\class0\person_0775.png,0,0
130,../Images/test\class0\person_0776.png,0,0
131,../Images/test\class0\person_0777.png,0,0
132,../Images/test\class0\person_0784.png,0,0
133,../Images/test\class0\person_0808.png,0,0
134,../Images/test\class0\person_0809.png,0,0
135,../Images/test\class0\person_0816.png,0,0
136,../Images/test\class0\person_0817.png,0,0
137,../Images/test\class0\person_0818.png,0,0
138,../Images/test\class0\person_0819.png,0,0
139,../Images/test\class0\person_0820.png,0,0
140,../Images/test\class0\person_0821.png,0,0
141,../Images/test\class0\person_0822.png,0,0
142,../Images/test\class0\person_0823.png,0,0
143,../Images/test\class0\person_0824.png,0,0
144,../Images/test\class0\person_0825.png,0,0
145,../Images/test\class0\person_0832.png,0,0
146,../Images/test\class0\person_0833.png,0,0
147,../Images/test\class0\person_0834.png,0,0
148,../Images/test\class0\person_0835.png,0,0
149,../Images/test\class0\person_0836.png,0,0
150,../Images/test\class0\person_0837.png,0,0
151,../Images/test\class0\person_0838.png,0,0
152,../Images/test\class0\person_0839.png,0,0
153,../Images/test\class0\person_0840.png,0,0
154,../Images/test\class0\person_0841.png,0,0
155,../Images/test\class0\person_0880.png,0,0
156,../Images/test\class0\person_0881.png,0,0
157,../Images/test\class0\person_0882.png,0,0
158,../Images/test\class0\person_0883.png,0,0
159,../Images/test\class0\person_0884.png,0,0
160,../Images/test\class0\person_0885.png,0,0
161,../Images/test\class0\person_0886.png,0,0
162,../Images/test\class0\person_0887.png,0,0
163,../Images/test\class0\person_0896.png,0,0
164,../Images/test\class0\person_0897.png,0,0
165,../Images/test\class0\person_0898.png,0,0
166,../Images/test\class0\person_0899.png,0,0
167,../Images/test\class0\person_0900.png,0,0
168,../Images/test\class0\person_0901.png,0,0
169,../Images/test\class0\person_0902.png,0,0
170,../Images/test\class0\person_0903.png,0,0
171,../Images/test\class0\person_0910.png,0,0
172,../Images/test\class0\person_0912.png,0,0
173,../Images/test\class0\person_0913.png,0,0
174,../Images/test\class0\person_0914.png,0,0
175,../Images/test\class0\person_0915.png,0,0
176,../Images/test\class0\person_0916.png,0,0
177,../Images/test\class0\person_0917.png,0,0
178,../Images/test\class0\person_0918.png,0,0
179,../Images/test\class0\person_0919.png,0,0
180,../Images/test\class0\person_0926.png,0,0
181,../Images/test\class0\person_0927.png,0,0
182,../Images/test\class0\person_0928.png,0,0
183,../Images/test\class0\person_0929.png,0,0
184,../Images/test\class0\person_0930.png,0,0
185,../Images/test\class0\person_0931.png,0,0
186,../Images/test\class0\person_0932.png,0,2
187,../Images/test\class0\person_0933.png,0,0
188,../Images/test\class0\person_0934.png,0,0
189,../Images/test\class0\person_0948.png,0,0
190,../Images/test\class0\person_0949.png,0,0
191,../Images/test\class0\person_0950.png,0,0
192,../Images/test\class0\person_0951.png,0,0
193,../Images/test\class0\person_0960.png,0,0
194,../Images/test\class0\person_0961.png,0,0
195,../Images/test\class0\person_0962.png,0,0
196,../Images/test\class0\person_0963.png,0,0
197,../Images/test\class0\person_0964.png,0,0
198,../Images/test\class0\person_0965.png,0,0
199,../Images/test\class0\person_0966.png,0,0
200,../Images/test\class0\person_0967.png,0,0
201,../Images/test\class0\person_0969.png,0,0
202,../Images/test\class0\person_0970.png,0,0
203,../Images/test\class0\person_0976.png,0,0
204,../Images/test\class0\person_0977.png,0,0
205,../Images/test\class0\person_0978.png,0,0
206,../Images/test\class0\person_0980.png,0,0
207,../Images/test\class0\person_0981.png,0,0
208,../Images/test\class0\person_0982.png,0,0
209,../Images/test\class0\person_0983.png,0,0
210,../Images/test\class0\person_0984.png,0,0
211,../Images/test\class0\person_0985.png,0,0
212,../Images/test\class0\person_1999.png,0,0
213,../Images/test\class0\pm2.png,0,0
214,../Images/test\class0\short-hairstyles-for-indian-faces-406016-50-indian-hairstyle.png,0,0
215,../Images/test\class0\vsdf.png,0,0
216,../Images/test\class0\x_img_288.png,0,0
217,../Images/test\class0\yimg_679.png,0,0
218,../Images/test\class1\01046_Mask.png,1,1
219,../Images/test\class1\01047_Mask.png,1,1
220,../Images/test\class1\01048_Mask.png,1,1
221,../Images/test\class1\01049_Mask.png,1,1
222,../Images/test\class1\01050_Mask.png,1,1
223,../Images/test\class1\01051_Mask.png,1,1
224,../Images/test\class1\01052_Mask.png,1,1
225,../Images/test\class1\01059_Mask.png,1,1
226,../Images/test\class1\01060_Mask.png,1,1
227,../Images/test\class1\01061_Mask.png,1,1
228,../Images/test\class1\01062_Mask.png,1,1
229,../Images/test\class1\01063_Mask.png,1,1
230,../Images/test\class1\01064_Mask.png,1,1
231,../Images/test\class1\01065_Mask.png,1,1
232,../Images/test\class1\01073_Mask.png,1,1
233,../Images/test\class1\01074_Mask.png,1,1
234,../Images/test\class1\01075_Mask.png,1,1
235,../Images/test\class1\01077_Mask.png,1,1
236,../Images/test\class1\01080_Mask.png,1,1
237,../Images/test\class1\01081_Mask.png,1,1
238,../Images/test\class1\01082_Mask.png,1,1
239,../Images/test\class1\01089_Mask.png,1,1
240,../Images/test\class1\01090_Mask.png,1,1
241,../Images/test\class1\01091_Mask.png,1,1
242,../Images/test\class1\01092_Mask.png,1,1
243,../Images/test\class1\01093_Mask.png,1,1
244,../Images/test\class1\01094_Mask.png,1,1
245,../Images/test\class1\01095_Mask.png,1,1
246,../Images/test\class1\01102_Mask.png,1,1
247,../Images/test\class1\01103_Mask.png,1,1
248,../Images/test\class1\01104_Mask.png,1,1
249,../Images/test\class1\01105_Mask.png,1,1
250,../Images/test\class1\01106_Mask.png,1,1
251,../Images/test\class1\01107_Mask.png,1,1
252,../Images/test\class1\01108_Mask.png,1,1
253,../Images/test\class1\01116_Mask.png,1,1
254,../Images/test\class1\01117_Mask.png,1,1
255,../Images/test\class1\01118_Mask.png,1,1
256,../Images/test\class1\01119_Mask.png,1,1
257,../Images/test\class1\01120_Mask.png,1,1
258,../Images/test\class1\01121_Mask.png,1,1
259,../Images/test\class1\01122_Mask.png,1,1
260,../Images/test\class1\01389_Mask.png,1,1
261,../Images/test\class1\01390_Mask.png,1,1
262,../Images/test\class1\01392_Mask.png,1,1
263,../Images/test\class1\01393_Mask.png,1,1
264,../Images/test\class1\01394_Mask.png,1,1
265,../Images/test\class1\01395_Mask.png,1,1
266,../Images/test\class1\01396_Mask.png,1,1
267,../Images/test\class1\02001_Mask.png,1,1
268,../Images/test\class1\02002_Mask.png,1,1
269,../Images/test\class1\02003_Mask.png,1,1
270,../Images/test\class1\02004_Mask.png,1,1
271,../Images/test\class1\02005_Mask.png,1,1
272,../Images/test\class1\02006_Mask.png,1,1
273,../Images/test\class1\02007_Mask.png,1,1
274,../Images/test\class1\02017_Mask.png,1,1
275,../Images/test\class1\02018_Mask.png,1,1
276,../Images/test\class1\02019_Mask.png,1,1
277,../Images/test\class1\02020_Mask.png,1,1
278,../Images/test\class1\02022_Mask.png,1,1
279,../Images/test\class1\02023_Mask.png,1,1
280,../Images/test\class1\02024_Mask.png,1,1
281,../Images/test\class1\02031_Mask.png,1,1
282,../Images/test\class1\02034_Mask.png,1,1
283,../Images/test\class1\02035_Mask.png,1,1
284,../Images/test\class1\02036_Mask.png,1,1
285,../Images/test\class1\02037_Mask.png,1,1
286,../Images/test\class1\02038_Mask.png,1,1
287,../Images/test\class1\02039_Mask.png,1,1
288,../Images/test\class1\02047_Mask.png,1,1
289,../Images/test\class1\02048_Mask.png,1,1
290,../Images/test\class1\02049_Mask.png,1,1
291,../Images/test\class1\02050_Mask.png,1,1
292,../Images/test\class1\02051_Mask.png,1,1
293,../Images/test\class1\02052_Mask.png,1,1
294,../Images/test\class1\02053_Mask.png,1,1
